"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
39.4269768029182,-23.9947765469911,1.45700692330084,-16.4685398286448,6.17427604431513e-61,5.53462104612408e-57,"IGFBP1"
41.7765190608483,-23.992688015772,1.62186118592782,-14.7933055084776,1.61808131627089e-49,7.25224045952615e-46,"ITIH1"
35.6032728472784,-20.6500492998944,1.53609390269543,-13.4432206674729,3.37424866965407e-41,1.00822550249264e-37,"C9"
26.8802047210141,-20.3190886701644,1.57837296202469,-12.8734393955277,6.35098150484239e-38,1.42325495523518e-34,"C8B"
15.9313197320573,-22.7354284081367,2.07953700603356,-10.9329280230033,8.02174920595478e-28,1.43813919764357e-24,"SNORA71B"
1461.36778897598,-8.54647473295095,0.835285035684776,-10.2318063509236,1.42830031450155e-24,2.13388066986531e-21,"HP"
27.4005307971878,-23.5029796164673,2.32933089618757,-10.0900132544221,6.1161259582586e-24,7.83213615569002e-21,"SNORA14B"
707.398081122694,-8.77638839781568,0.872513614463864,-10.0587409208606,8.40665752158527e-24,8.96039785198516e-21,"APOA2"
36.7429492176712,-2.87307793191096,0.285819724147232,-10.0520632034162,8.99638338552727e-24,8.96039785198516e-21,"TNFRSF12A"
25.0781844685394,-5.17908351520716,0.522720883038488,-9.90793305425646,3.84518560828478e-23,3.13347670842407e-20,"CLDN1"
128.841048203108,-4.82787692670723,0.48724020211446,-9.9086177736481,3.81892787168415e-23,3.13347670842407e-20,"SPP1"
646.852525441803,-8.61218810642989,0.888685770427783,-9.69092607647388,3.29527015443027e-22,2.46156680535941e-19,"APOA1"
177.259848992207,-6.77785354171952,0.701732539990426,-9.65874197854924,4.51372604346221e-22,3.11238771181502e-19,"APOC2"
16.5206497628658,-4.07582874169954,0.422461913733609,-9.64780163418385,5.02207563359351e-22,3.2155632842523e-19,"ETV4"
641.016365784763,-8.63389961810266,0.895903265380162,-9.63708912751758,5.57463224411035e-22,3.33140022908035e-19,"FGG"
604.669181023234,-8.40904819057252,0.880214788914091,-9.55340480128338,1.25502388194635e-21,7.0312712986044e-19,"ORM1"
447.807981941716,-8.372770819259,0.889055820498473,-9.41759856491866,4.6152242688772e-21,2.4335806086009e-18,"FGA"
33.9439326711538,1.00213420243821,0.106727435695055,9.38965876873067,6.01949529033251e-21,2.99770865458559e-18,"ZBTB7B"
67.1425141319138,-3.27023957217216,0.354298517019,-9.23018137272302,2.70174028152416e-20,1.27465262545171e-17,"BGN"
370.855578215555,-8.58718428032244,0.940075407058019,-9.13456964819042,6.56674306771126e-20,2.94321424294819e-17,"FGB"
249.776210123602,-8.8585840670504,0.972137841619872,-9.11247735433213,8.05218951824561e-20,3.43713461150256e-17,"AMBP"
449.14944124561,-8.4683279952001,0.929994987523352,-9.10577810505399,8.56502509038463e-20,3.48985840500944e-17,"APOC3"
185.88630679542,-7.97642164390868,0.888941459202305,-8.97294367512834,2.88693733512678e-19,1.12515244661202e-16,"CYP2E1"
297.219883382357,-8.04711858430022,0.90150170028477,-8.92634875980629,4.40300822868039e-19,1.64452357341213e-16,"APOH"
210.856733542119,-6.49427933955957,0.730393667200446,-8.89147815923945,6.03012868560068e-19,2.16216294150898e-16,"RBP4"
60.406510352305,1.35699188691105,0.153461454211594,8.84255850358374,9.35512869781895e-19,3.2253605248942e-16,"GNA11"
16.3838396591018,-3.94694714954594,0.44909365684219,-8.78869494015785,1.51307307900393e-18,5.02340262229304e-16,"CTHRC1"
132.658139388547,-5.36000424262491,0.612759313300138,-8.74732399211942,2.18471754605584e-18,6.99421717244449e-16,"H19"
1060.11953096247,-7.19693182549015,0.826757241788946,-8.70501213865071,3.17540769634368e-18,9.81529468621543e-16,"ALB"
831.334129543027,-5.06456951344323,0.58987375832132,-8.58585323045415,9.01647183954929e-18,2.69412178565733e-15,"APOC1"
380.16375240746,-6.22892827905736,0.727874455179923,-8.55769595254944,1.15145558392359e-17,3.32956382396487e-15,"SAA1"
42.0671753463031,-4.47532339682377,0.524703484082639,-8.52924276774751,1.47308761723885e-17,4.12648668779032e-15,"IL8"
163.588301996121,-8.13863153584744,0.955918172277129,-8.51394164467038,1.68118645106643e-17,4.43239863157633e-15,"HPX"
191.61567304735,-5.98990143419006,0.703367267919126,-8.51603665309997,1.65106595781216e-17,4.43239863157633e-15,"SERPINA3"
24.3722901273323,1.64059373510751,0.194316369790884,8.44290029127786,3.09559147489779e-17,7.92825199456679e-15,"PEX26"
95.2604041897722,-2.33753006174147,0.280075891718058,-8.34605951766306,7.05782501431728e-17,1.757398428565e-14,"TGFBI"
128.223177567639,-7.1241476944012,0.85732751064505,-8.30971548905624,9.59317994332902e-17,2.32414229762166e-14,"CRP"
6.60870248628789,1.47821171470486,0.178144582560938,8.2978201944435,1.06039002707463e-16,2.50140426386763e-14,"CNNM2"
14.8318653494572,-22.540427853678,2.72833608112504,-8.26160237722007,1.43729799438452e-16,3.30357415940073e-14,"SNORA66"
8.999145482512,1.35079722559696,0.163664453918248,8.25345512270917,1.53879673810991e-16,3.44844349010431e-14,"ZZEF1"
11.9806531386137,-2.85586397890455,0.347943312505143,-8.20784270386672,2.25197964588523e-16,4.92359647456468e-14,"SLCO4A1"
96.7682955823832,-1.32915821827364,0.162005317777715,-8.20441104345326,2.31724020007924e-16,4.94565265559769e-14,"AHCY"
22.0567991516016,-2.78387045033117,0.340534713242581,-8.174997561403,2.95871859151853e-16,6.16789615217956e-14,"FCGR3A"
217.74060426568,-2.51821543127894,0.310660108981085,-8.10601476816022,5.23070902184953e-16,1.06563808345135e-13,"TIMP1"
